
new entry "Lu_UmBld_Shadow_Stats"
using "_Summons"
data "Level" "1"
data "Vitality" "1"
data "Armor" "10"
data "Strength" "1"
data "Dexterity" "1"
data "Constitution" "1"
data "Intelligence" "1"
data "Wisdom" "1"
data "Charisma" "1"
data "ActionResources" "Movement:0"
data "DefaultBoosts" "Invulnerable(); IgnoreFallDamage(); DialogueBlock(); IgnoreLeaveAttackRange(); BlockRegainHP(); ActionResourceOverride(Movement,0,0); ActionResourceBlock(Movement); ActionResourceOverride(ActionPoint,0,0); ActionResourceBlock(ActionPoint); ActionResourceOverride(BonusActionPoint,0,0); ActionResourceBlock(BonusActionPoint); ActionResourceOverride(ReactionActionPoint,0,0); ActionResourceBlock(ReactionActionPoint); ProficiencyBonus(SavingThrow,Strength); ProficiencyBonus(SavingThrow,Constitution)"
data "Passives" ""
data "Initiative" "0"
data "BludgeoningResistance" "Immune"
data "SlashingResistance" "Immune"
data "PiercingResistance" "Immune"
data "AcidResistance" "Immune"
data "ColdResistance" "Immune"
data "FireResistance" "Immune"
data "ForceResistance" "Immune"
data "LightningResistance" "Immune"
data "NecroticResistance" "Immune"
data "PoisonResistance" "Immune"
data "PsychicResistance" "Immune"
data "RadiantResistance" "Immune"
data "ThunderResistance" "Immune"
data "Flags" "Floating;FloatingWhileMoving"
data "Sight" "1"
data "Hearing" "1"
data "FOV" "1"
data "DifficultyStatuses" ""
data "PersonalStatusImmunities" "SG_Condition;SG_Blinded;SG_Charmed;SG_Cursed;SG_Disease;SG_Exhausted;SG_Frightened;SG_Incapacitated;SG_Invisible;SG_Poisoned;SG_Prone;SG_Restrained;SG_Stunned;SG_Unconscious;SG_Polymorph;SG_Paralyzed;SG_Petrified;SG_Drunk;SG_Sleeping;SG_Approaching;SG_Taunted;SG_Dominated;SG_Fleeing;SG_Confused;SG_Mad;SG_DifficultTerrain;SG_Surface;SG_Helpable_Condition;HASTE;HASTE_SURFACE;MAG_CELESTIAL_HASTE;POTION_OF_SPEED;CONS_DRUG_STIMULANT;LONGSTRIDER;MAG_END_GAME_LONGSTRIDER;PACK_HOWL_WOLF_DIRE;PACK_HOWL_WOLF_DIRE_NPC;ASPECT_OF_THE_ELK_AURA;ALCH_ELIXIR_BLOODLUST_TEMPAP;TAD_MIND_SANCTUARY_HASTE;DISARM;DISARM_STEAL"
