new entry "INFILTRATE_300001"
type "StatusData"
data "StatusType" "INVISIBLE"
data "DisplayName" "h3a541c53de7d430ab9615aaaed1fd52234c2;1"
data "Description" "he3170aac7d204f46a516e449d6e74bb6f378;1"
data "DescriptionParams" "Distance(3);DealDamage(LevelMapValue(Infiltrate),MainMeleeWeaponDamageType)"
data "Icon" "Infiltrate300001"
data "StackId" "INVISIBILITY"
data "StackPriority" "6"
data "Boosts" "IgnoreLeaveAttackRange;Invisibility();Advantage(AttackRoll);DetectDisturbancesBlock(true),ActionResource(Movement,3,0)"
data "Passives" "Shade_Infiltrate_100011"
data "StatusPropertyFlags" "UnavailableInActiveRoll;ExcludeFromPortraitRendering"
data "RemoveEvents" "OnSpellCast;OnDamage;OnEntityPickUp;OnEntityDrop;OnEntityDrag;OnLockpickingFinished;OnDisarmingFinished"
data "RemoveConditions" "(IsStatusEvent(StatusEvent.OnSpellCast) and not HasSpellFlag(SpellFlags.Invisible)) or (IsStatusEvent(StatusEvent.OnDamage) and TotalDamageDoneGreaterThan(0)) or (not IsStatusEvent(StatusEvent.OnSpellCast) and not IsStatusEvent(StatusEvent.OnDamage))"
data "StatusGroups" "SG_Invisible;SG_RemoveOnRespec"
data "StatusEffect" "84be28b3-6fdf-4b62-86e2-1f3b333aab81"
